"","PC1","PC2","PC3","PC4"
"AL_ballooning",-0.0126959194308767,-0.0121574907311724,-0.0548684284867648,0.161700398602318
"AL_bioturbation_and_burrowing",0.441770181683899,0.0536499843665095,-0.266401983393218,-0.133658253283743
"AL_climbing_on_vegetation",-0.306869162523178,-0.0340719149752509,0.00173223159858287,0.0406339697412877
"AL_jumper",-0.135337232064551,-0.26135191548568,-0.167197118819268,-0.205382648403954
"AL_limited_flyers",-0.245853802275143,0.105176653840833,-0.0418187186096322,-0.124393792837371
"AL_low_mobility",0.115229525759633,0.22039692062096,-0.0370597898637599,-0.185845818193438
"AL_sand_swimming_subsurface_crawling",0.16283460321629,0.296133958204376,0.346518907927405,-0.0857868627134248
"AL_surface_runners_walkers",-0.101467681779604,0.167581915188174,0.0973568698731101,0.137634638188442
"AL_swimming",0.229508456483418,-0.245498326358309,-0.057865117611039,0.00906842812557662
"LDL_burrow_associated",0.214903859225226,0.427763455436164,-0.379716955142171,0.274010775878354
"LDL_litter_associated",0.324638346441135,-0.30172384208373,0.305260836190584,0.103454553909644
"LDL_on_parent",0.00799515360703201,0.040047074354465,-0.0358852789312063,-0.0494981669596813
"LDL_soil_dwelling",-0.0594088073286025,0.21914535308687,0.272205230012929,-0.0409611547716457
"LDL_water_vegetation",-0.370397412264441,-0.036924570067584,-0.0595903580123227,-0.108374339220945
"adult_body_size",0.103600134280604,-0.0786234682084356,-0.0100043313890009,0.101424903471257
"adult_habitat_litter",0.247042722142011,-0.205260450833229,0.201657091741267,0.189776278175939
"adult_habitat_open_vegetation",-0.155766916688223,-0.15455155580411,0.0135194076254249,0.132812364621941
"adult_habitat_water",0.0245900860535271,0.0818091402275614,-0.0472261902853604,0.110112181725376
"adult_living_depth",0.406337547162034,0.0756046539129727,-0.027171709395485,-0.186098938042938
"diurnal_activity",-0.137912617389804,0.235258197259251,0.0749302277855259,0.0576463753033067
"parental_care",0.118718003546201,-0.165570204640664,-0.140542938947261,-0.106320198110288
"seasonal_activity",-0.0217272041842263,0.0863448418123494,0.184011787098692,-0.0308327339458355
"seasonal_restriction",-0.118100061435417,-0.143749979132115,-0.245988479759235,0.136168713390066
